host,ip,collector_hostname,timestamp,feature,value
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipInReceives,1273823
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipInDelivers,1270028
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipOutRequests,819539
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipInDiscards,2488
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpInSegs,623283
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpOutSegs,709972
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpCurrEstab,45
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,tcpActiveOpens,6493
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,udpInDatagrams,700901
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,udpOutDatagrams,148601
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipInReceives,1273858
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipInDelivers,1270063
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipOutRequests,819581
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipInDiscards,2488
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:02.952665,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpInSegs,623376
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpOutSegs,710065
localhost,127.0.0.1:161,local-producer,2025-08-31T21:53:13.185743,tcpPassiveOpens,344
